City,Lat,lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
kachug,53.9606,105.8817,19.92,55.0,2.0,2.45,RU,1722821955.0
blackmans bay,-43.0167,147.3167,13.74,59.0,8.0,0.45,AU,1722821955.0
eureka,40.8021,-124.1637,16.78,90.0,95.0,0.89,US,1722821917.0
ketchikan,55.3422,-131.6461,24.26,46.0,0.0,4.63,US,1722821955.0
praia,14.9215,-23.5087,27.3,78.0,20.0,0.51,CV,1722821955.0
naze,28.3667,129.4833,30.51,72.0,56.0,6.57,JP,1722821955.0
dudinka,69.4058,86.1778,11.32,51.0,0.0,9.94,RU,1722821955.0
tiksi,71.6872,128.8694,10.51,88.0,100.0,4.57,RU,1722821955.0
al masallamiyya,14.5748,33.3373,27.65,67.0,77.0,4.5,SD,1722821955.0
yellowknife,62.456,-114.3525,22.45,60.0,75.0,5.66,CA,1722821955.0
centenario do sul,-22.8211,-51.5953,20.17,42.0,1.0,2.15,BR,1722821956.0
chibougamau,49.9168,-74.3659,13.79,62.0,20.0,2.06,CA,1722821956.0
port-aux-francais,-49.35,70.2167,1.77,67.0,10.0,7.17,TF,1722821956.0
umm kaddadah,13.6017,26.6876,24.78,73.0,99.0,5.47,SD,1722821956.0
vernon,50.2581,-119.2691,35.2,25.0,12.0,1.03,CA,1722821853.0
bethel,41.3712,-73.414,23.13,89.0,0.0,0.0,US,1722821956.0
hulan ergi,47.2042,123.6333,28.28,65.0,100.0,4.79,CN,1722821956.0
st. john's,47.5649,-52.7093,21.27,97.0,100.0,6.69,CA,1722821956.0
waitangi,-43.9535,-176.5597,11.01,72.0,100.0,1.79,NZ,1722821956.0
puerto natales,-51.7236,-72.4875,0.83,98.0,100.0,0.65,CL,1722821956.0
invercargill,-46.4,168.35,12.23,64.0,20.0,4.02,NZ,1722821956.0
boende,-0.2167,20.8667,21.77,89.0,38.0,1.2,CD,1722821956.0
qaqortoq,60.7167,-46.0333,5.7,85.0,0.0,1.31,GL,1722821956.0
zhezqazghan,47.7833,67.7667,17.32,48.0,0.0,3.0,KZ,1722821956.0
adamstown,-25.066,-130.1015,20.78,81.0,100.0,7.56,PN,1722821956.0
kegen,43.0197,79.2203,19.65,41.0,35.0,1.35,KZ,1722821956.0
tamanrasset,22.785,5.5228,24.95,18.0,0.0,2.06,DZ,1722821956.0
grytviken,-54.2811,-36.5092,-1.35,87.0,100.0,5.44,GS,1722821956.0
port alfred,-33.5906,26.891,12.41,61.0,1.0,10.55,ZA,1722821956.0
touros,-5.1989,-35.4608,23.0,85.0,19.0,5.32,BR,1722821956.0
champerico,14.3,-91.9167,27.66,73.0,100.0,1.35,GT,1722821956.0
faya-largeau,17.9257,19.1043,27.26,76.0,100.0,9.98,TD,1722821956.0
veinticinco de mayo,-35.4323,-60.1727,8.88,73.0,1.0,1.34,AR,1722821941.0
georgetown,5.4112,100.3354,28.96,77.0,20.0,2.57,MY,1722821751.0
las tablas,7.7667,-80.2833,26.76,99.0,100.0,1.28,PA,1722821957.0
gadzhiyevo,69.2551,33.3362,8.51,85.0,2.0,0.95,RU,1722821957.0
remire-montjoly,4.9167,-52.2667,26.02,89.0,0.0,1.03,GF,1722821957.0
ushuaia,-54.8,-68.3,-1.19,69.0,75.0,3.6,AR,1722821934.0
zheleznodorozhnyy,55.7503,38.0042,15.92,88.0,0.0,2.19,RU,1722821957.0
olonkinbyen,70.9221,-8.7187,5.89,99.0,100.0,3.55,SJ,1722821957.0
morant bay,17.8815,-76.4093,30.79,87.0,11.0,3.71,JM,1722821957.0
taiohae,,,,,,,,
punta arenas,-53.15,-70.9167,-0.94,100.0,75.0,2.57,CL,1722821887.0
impfondo,1.6381,18.0667,22.07,95.0,90.0,1.45,CG,1722821957.0
belyy yar,53.6039,91.3903,21.94,68.0,0.0,2.0,RU,1722821957.0
antsohihy,-14.8796,47.9875,16.55,86.0,34.0,1.71,MG,1722821957.0
isafjordur,66.0755,-23.124,7.93,89.0,100.0,9.37,IS,1722821957.0
angra do heroismo,38.65,-27.2167,25.34,93.0,20.0,0.45,PT,1722821920.0
tawau,4.2498,117.8871,29.07,79.0,57.0,0.67,MY,1722821957.0
talnakh,69.4865,88.3972,13.68,50.0,0.0,5.25,RU,1722821957.0
bredasdorp,-34.5322,20.0403,6.61,70.0,20.0,4.63,ZA,1722821962.0
constitucion,-35.3333,-72.4167,10.68,86.0,100.0,7.62,CL,1722821962.0
port mathurin,-19.6833,63.4167,22.17,73.0,4.0,6.3,MU,1722821962.0
alice springs,-23.7,133.8833,12.75,76.0,40.0,3.6,AU,1722821962.0
nemuro,43.3236,145.575,15.39,100.0,100.0,3.61,JP,1722821962.0
edinburgh of the seven seas,-37.0676,-12.3116,13.62,77.0,65.0,13.48,SH,1722821962.0
lompoc,34.6391,-120.4579,18.8,82.0,0.0,5.14,US,1722821962.0
chui,-33.6971,-53.4616,12.0,82.0,100.0,2.69,UY,1722821963.0
